time_hr,wear_pct,vibration_rms_mm_s,temperature_c,current_a,speed_rpm,rul_hr,label
16.5,0.0,0.1256,30.09,5.008,1499.4,983.5,healthy
17.0,0.0,0.1685,30.59,5.11,1501.1,983.0,healthy
17.5,0.0,0.1839,29.63,4.999,1498.4,982.5,healthy
18.0,0.0,0.1466,30.8,4.965,1501.5,982.0,healthy
18.5,0.0,0.1248,29.21,4.991,1504.3,981.5,healthy
19.0,0.0,0.1253,30.24,5.005,1499.9,981.0,healthy
19.5,0.0,0.1695,30.74,4.992,1497.3,980.5,healthy
20.0,0.0,0.1723,30.53,4.998,1497.3,980.0,healthy
20.5,0.0,0.1663,31.53,4.928,1501.6,979.5,healthy
21.0,0.0,0.13,29.39,4.952,1499.9,979.0,healthy
21.5,0.0,0.157,28.9,4.993,1501.8,978.5,healthy
22.0,0.0,0.1535,29.2,4.992,1498.9,978.0,healthy
22.5,0.0,0.1566,30.53,4.972,1501.7,977.5,healthy
23.0,0.0,0.1761,30.4,4.991,1499.7,977.0,healthy
23.5,0.0,0.1567,30.08,5.003,1498.5,976.5,healthy
24.0,0.0,0.1704,29.1,5.044,1499.2,976.0,healthy
24.5,0.0,0.152,30.61,4.995,1497.6,975.5,healthy
25.0,0.0,0.1587,29.02,5.02,1504.0,975.0,healthy
25.5,0.0,0.1689,30.93,4.973,1499.8,974.5,healthy
26.0,0.0,0.1063,32.29,5.029,1501.3,974.0,healthy
26.5,0.0,0.1404,30.29,5.019,1498.9,973.5,healthy
27.0,0.0,0.1359,30.47,5.043,1497.9,973.0,healthy
27.5,0.0,0.1308,29.61,5.036,1499.5,972.5,healthy
28.0,0.0,0.1417,28.55,5.029,1502.2,972.0,healthy
28.5,0.0,0.1948,29.52,4.995,1499.0,971.5,healthy
29.0,0.0,0.124,29.13,5.012,1498.3,971.0,healthy
29.5,0.0,0.179,28.84,5.053,1500.3,970.5,healthy
30.0,0.0,0.0995,31.38,4.967,1501.0,970.0,healthy
30.5,0.0,0.14,30.22,4.969,1503.3,969.5,healthy
31.0,0.0,0.1549,30.3,5.009,1500.7,969.0,healthy
31.5,0.0,0.1676,29.75,5.021,1501.3,968.5,healthy
32.0,0.0,0.1713,29.86,4.959,1501.4,968.0,healthy
32.5,0.0,0.1738,30.77,4.996,1497.7,967.5,healthy
33.0,0.0,0.1395,29.97,4.995,1498.1,967.0,healthy
33.5,0.0,0.1361,30.42,4.889,1497.8,966.5,healthy
34.0,0.0,0.1757,29.84,4.989,1497.3,966.0,healthy
34.5,0.0,0.1443,29.73,4.992,1501.6,965.5,healthy
35.0,0.0,0.1117,28.87,4.992,1500.6,965.0,healthy
35.5,0.0,0.116,28.42,5.071,1500.2,964.5,healthy
36.0,0.0,0.1224,29.79,4.939,1494.8,964.0,healthy
36.5,0.0,0.1649,30.05,4.959,1504.1,963.5,healthy
37.0,0.01,0.1543,28.97,4.869,1498.2,963.0,healthy
37.5,0.01,0.1707,29.97,4.976,1504.1,962.5,healthy
38.0,0.01,0.1372,30.04,4.98,1497.1,962.0,healthy
38.5,0.01,0.1548,28.28,4.975,1498.4,961.5,healthy
39.0,0.01,0.1688,29.27,5.055,1495.6,961.0,healthy
39.5,0.01,0.1407,30.33,5.043,1500.7,960.5,healthy
40.0,0.01,0.1637,30.31,5.004,1497.8,960.0,healthy
40.5,0.01,0.1301,29.08,4.981,1497.9,959.5,healthy
41.0,0.01,0.1391,30.13,5.051,1497.3,959.0,healthy
41.5,0.01,0.1385,30.82,4.999,1501.6,958.5,healthy
42.0,0.01,0.1141,30.62,4.959,1501.4,958.0,healthy
42.5,0.01,0.1646,29.92,4.914,1503.6,957.5,healthy
43.0,0.01,0.1359,29.63,4.978,1498.6,957.0,healthy
43.5,0.01,0.1504,29.5,5.038,1500.4,956.5,healthy
44.0,0.01,0.1644,30.37,5.114,1497.4,956.0,healthy
44.5,0.01,0.1634,30.16,5.003,1499.3,955.5,healthy
45.0,0.01,0.17,30.5,4.962,1499.0,955.0,healthy
45.5,0.01,0.147,30.11,4.941,1500.9,954.5,healthy
46.0,0.01,0.1373,30.66,5.028,1502.0,954.0,healthy
46.5,0.01,0.1476,30.08,4.912,1502.0,953.5,healthy
47.0,0.01,0.0994,30.63,5.028,1498.3,953.0,healthy
47.5,0.01,0.1066,30.7,5.041,1502.0,952.5,healthy
48.0,0.01,0.1103,29.36,5.022,1499.9,952.0,healthy
48.5,0.01,0.1201,28.55,4.989,1499.4,951.5,healthy
49.0,0.01,0.162,31.23,5.028,1498.6,951.0,healthy
49.5,0.01,0.1228,30.21,5.009,1498.9,950.5,healthy
50.0,0.01,0.1387,28.63,4.961,1503.5,950.0,healthy
50.5,0.01,0.189,29.43,5.093,1500.6,949.5,healthy
51.0,0.01,0.1393,30.62,4.982,1500.3,949.0,healthy
51.5,0.01,0.1721,29.78,5.039,1499.5,948.5,healthy
52.0,0.01,0.122,29.59,4.879,1504.9,948.0,healthy
52.5,0.01,0.1438,31.12,5.064,1502.6,947.5,healthy
53.0,0.01,0.1215,29.16,5.073,1498.6,947.0,healthy
53.5,0.02,0.1398,29.36,5.001,1499.5,946.5,healthy
54.0,0.02,0.1752,30.17,5.028,1499.6,946.0,healthy
54.5,0.02,0.0982,30.31,5.028,1500.3,945.5,healthy
55.0,0.02,0.163,30.4,4.968,1498.6,945.0,healthy
55.5,0.02,0.1571,30.73,5.027,1500.9,944.5,healthy
56.0,0.02,0.1322,30.16,4.96,1502.9,944.0,healthy
56.5,0.02,0.1066,30.39,4.97,1497.4,943.5,healthy
57.0,0.02,0.1522,29.79,5.056,1497.7,943.0,healthy
57.5,0.02,0.1341,30.05,5.049,1499.0,942.5,healthy
58.0,0.02,0.157,30.09,4.965,1499.1,942.0,healthy
58.5,0.02,0.1507,30.17,4.963,1504.0,941.5,healthy
59.0,0.02,0.1981,30.62,4.968,1502.0,941.0,healthy
59.5,0.02,0.1428,30.44,5.037,1501.9,940.5,healthy
60.0,0.02,0.1193,30.04,4.95,1499.5,940.0,healthy
60.5,0.02,0.1554,29.35,5.018,1499.4,939.5,healthy
61.0,0.02,0.1566,30.05,5.037,1497.1,939.0,healthy
61.5,0.02,0.1908,29.98,4.996,1501.6,938.5,healthy
62.0,0.02,0.1751,30.15,5.051,1501.0,938.0,healthy
62.5,0.02,0.1607,31.77,4.985,1502.6,937.5,healthy
63.0,0.03,0.1939,29.58,4.989,1499.6,937.0,healthy
63.5,0.03,0.1143,30.34,4.951,1499.7,936.5,healthy
64.0,0.03,0.1308,30.85,5.051,1500.3,936.0,healthy
64.5,0.03,0.1222,30.08,4.962,1501.8,935.5,healthy
65.0,0.03,0.1383,31.87,5.017,1497.1,935.0,healthy
65.5,0.03,0.1087,29.7,4.996,1501.5,934.5,healthy
66.0,0.03,0.1691,30.26,4.947,1500.0,934.0,healthy
66.5,0.03,0.1433,29.36,4.97,1497.9,933.5,healthy
67.0,0.03,0.1059,29.72,5.069,1495.8,933.0,healthy
67.5,0.03,0.1195,30.2,5.01,1499.7,932.5,healthy
68.0,0.03,0.1594,30.68,4.95,1502.9,932.0,healthy
68.5,0.03,0.1751,30.26,5.015,1503.3,931.5,healthy
69.0,0.03,0.2099,31.01,4.993,1500.7,931.0,healthy
69.5,0.03,0.2374,29.92,5.173,1503.9,930.5,healthy
70.0,0.03,0.1624,29.73,5.014,1499.9,930.0,healthy
70.5,0.04,0.1203,32.16,4.981,1501.9,929.5,healthy
71.0,0.04,0.086,30.32,5.071,1499.1,929.0,healthy
71.5,0.04,0.158,29.42,4.908,1499.0,928.5,healthy
72.0,0.04,0.1256,29.44,5.005,1498.6,928.0,healthy
72.5,0.04,0.1375,29.25,5.1,1495.9,927.5,healthy
73.0,0.04,0.1316,30.75,4.994,1502.6,927.0,healthy
73.5,0.04,0.1458,29.71,4.913,1498.7,926.5,healthy
74.0,0.04,0.182,30.1,4.98,1498.4,926.0,healthy
74.5,0.04,0.1547,29.95,5.073,1497.6,925.5,healthy
75.0,0.04,0.1452,30.59,5.019,1499.6,925.0,healthy
75.5,0.04,0.1189,29.32,4.958,1503.5,924.5,healthy
76.0,0.04,0.0998,29.14,4.966,1504.2,924.0,healthy
76.5,0.04,0.1354,30.18,4.972,1496.7,923.5,healthy
77.0,0.05,0.1484,30.48,5.018,1499.3,923.0,healthy
77.5,0.05,0.203,30.27,5.067,1497.9,922.5,healthy
78.0,0.05,0.1539,29.35,5.053,1502.0,922.0,healthy
78.5,0.05,0.1795,30.54,5.023,1500.6,921.5,healthy
79.0,0.05,0.135,29.41,4.933,1498.7,921.0,healthy
79.5,0.05,0.1145,29.58,4.934,1500.1,920.5,healthy
80.0,0.05,0.121,29.25,5.027,1499.0,920.0,healthy
80.5,0.05,0.1282,31.04,4.933,1503.2,919.5,healthy
81.0,0.05,0.2139,30.51,4.989,1501.1,919.0,healthy
81.5,0.05,0.1254,30.48,5.015,1501.3,918.5,healthy
82.0,0.06,0.1752,31.0,4.943,1494.7,918.0,healthy
82.5,0.06,0.1229,32.25,4.949,1499.9,917.5,healthy
83.0,0.06,0.1779,28.63,4.995,1504.2,917.0,healthy
83.5,0.06,0.1616,29.41,5.025,1502.7,916.5,healthy
84.0,0.06,0.1453,29.51,5.053,1496.3,916.0,healthy
84.5,0.06,0.1488,29.32,5.03,1499.4,915.5,healthy
85.0,0.06,0.1304,29.14,5.004,1497.6,915.0,healthy
85.5,0.06,0.1634,29.76,4.963,1503.4,914.5,healthy
86.0,0.06,0.1364,29.03,4.946,1500.5,914.0,healthy
86.5,0.06,0.1132,30.27,4.974,1498.5,913.5,healthy
87.0,0.07,0.1117,30.04,5.02,1500.1,913.0,healthy
87.5,0.07,0.1552,30.39,5.017,1494.8,912.5,healthy
88.0,0.07,0.1974,30.41,4.895,1497.8,912.0,healthy
88.5,0.07,0.1548,30.48,4.961,1500.1,911.5,healthy
89.0,0.07,0.1464,29.7,5.06,1501.7,911.0,healthy
89.5,0.07,0.1586,31.7,5.004,1496.1,910.5,healthy
90.0,0.07,0.1892,30.19,4.929,1499.2,910.0,healthy
90.5,0.07,0.1566,28.51,5.118,1502.0,909.5,healthy
91.0,0.08,0.1377,29.2,4.999,1497.1,909.0,healthy
91.5,0.08,0.1832,28.61,5.019,1500.5,908.5,healthy
92.0,0.08,0.1629,30.01,5.02,1500.1,908.0,healthy
92.5,0.08,0.1961,29.9,4.982,1503.4,907.5,healthy
93.0,0.08,0.1555,29.63,4.964,1499.5,907.0,healthy
93.5,0.08,0.1133,31.61,5.106,1499.7,906.5,healthy
94.0,0.08,0.109,30.44,5.05,1501.7,906.0,healthy
94.5,0.08,0.1995,30.58,5.041,1497.3,905.5,healthy
95.0,0.09,0.2017,29.26,5.029,1499.6,905.0,healthy
95.5,0.09,0.1446,29.2,4.95,1499.1,904.5,healthy
96.0,0.09,0.1385,30.03,5.064,1499.7,904.0,healthy
96.5,0.09,0.1938,30.14,4.958,1501.7,903.5,healthy
97.0,0.09,0.1168,28.52,5.014,1501.1,903.0,healthy
97.5,0.09,0.1232,29.86,4.918,1498.5,902.5,healthy
98.0,0.09,0.1693,30.01,4.898,1500.3,902.0,healthy
98.5,0.1,0.1382,29.83,5.016,1503.0,901.5,healthy
99.0,0.1,0.1499,29.35,4.96,1498.3,901.0,healthy
99.5,0.1,0.1451,29.57,4.901,1500.3,900.5,healthy
100.0,0.1,0.1601,29.86,5.027,1499.6,900.0,healthy
100.5,0.1,0.1922,30.07,5.106,1499.9,899.5,healthy
101.0,0.1,0.1527,30.48,5.069,1496.7,899.0,healthy
101.5,0.1,0.1693,30.87,4.987,1502.8,898.5,healthy
102.0,0.11,0.0885,29.77,5.0,1498.5,898.0,healthy
102.5,0.11,0.1485,29.64,5.044,1502.1,897.5,healthy
103.0,0.11,0.1247,30.35,5.056,1498.8,897.0,healthy
103.5,0.11,0.1134,30.49,4.983,1498.7,896.5,healthy
104.0,0.11,0.1237,29.65,5.002,1502.4,896.0,healthy
104.5,0.11,0.14,30.63,5.015,1502.0,895.5,healthy
105.0,0.12,0.1775,30.79,5.028,1500.4,895.0,healthy
105.5,0.12,0.1102,31.03,4.993,1501.5,894.5,healthy
106.0,0.12,0.1509,31.42,4.994,1499.4,894.0,healthy
106.5,0.12,0.1355,29.31,5.069,1500.0,893.5,healthy
107.0,0.12,0.1402,30.01,5.06,1498.7,893.0,healthy
107.5,0.12,0.1801,30.01,5.024,1501.8,892.5,healthy
108.0,0.13,0.1661,29.92,5.086,1498.6,892.0,healthy
108.5,0.13,0.1901,29.48,4.981,1503.0,891.5,healthy
109.0,0.13,0.1454,28.81,5.081,1499.4,891.0,healthy
109.5,0.13,0.1291,30.08,5.027,1500.0,890.5,healthy
110.0,0.13,0.1433,29.39,5.164,1501.5,890.0,healthy
110.5,0.13,0.1573,30.07,4.94,1500.0,889.5,healthy
111.0,0.14,0.1553,29.37,4.966,1499.4,889.0,healthy
111.5,0.14,0.1175,29.12,5.021,1499.9,888.5,healthy
112.0,0.14,0.1527,30.19,5.02,1501.8,888.0,healthy
112.5,0.14,0.1569,30.12,5.098,1498.7,887.5,healthy
113.0,0.14,0.2255,30.47,4.967,1499.7,887.0,healthy
113.5,0.15,0.2063,31.75,5.045,1500.0,886.5,healthy
114.0,0.15,0.1244,30.22,5.058,1501.7,886.0,healthy
114.5,0.15,0.1414,30.39,5.035,1499.8,885.5,healthy
115.0,0.15,0.1061,29.14,4.952,1503.6,885.0,healthy
115.5,0.15,0.1323,28.97,5.07,1499.7,884.5,healthy
116.0,0.16,0.1595,31.27,5.061,1499.5,884.0,healthy
116.5,0.16,0.1862,29.26,5.03,1499.7,883.5,healthy
117.0,0.16,0.1281,29.17,5.01,1497.4,883.0,healthy
117.5,0.16,0.1304,29.97,5.011,1497.9,882.5,healthy
118.0,0.16,0.0856,29.93,4.996,1498.9,882.0,healthy
118.5,0.17,0.1451,29.28,5.032,1502.3,881.5,healthy
119.0,0.17,0.1181,29.76,5.002,1499.9,881.0,healthy
119.5,0.17,0.1341,30.99,4.958,1499.0,880.5,healthy
120.0,0.17,0.1237,29.36,4.948,1502.5,880.0,healthy
120.5,0.17,0.1472,28.89,4.962,1503.1,879.5,healthy
121.0,0.18,0.0973,30.76,5.011,1502.5,879.0,healthy
121.5,0.18,0.106,30.4,4.999,1498.3,878.5,healthy
122.0,0.18,0.2139,29.51,5.011,1499.0,878.0,healthy
122.5,0.18,0.1114,28.74,5.025,1503.6,877.5,healthy
123.0,0.19,0.1171,29.41,4.969,1500.5,877.0,healthy
123.5,0.19,0.2051,29.96,5.073,1499.5,876.5,healthy
124.0,0.19,0.2372,30.94,4.987,1501.4,876.0,healthy
124.5,0.19,0.1149,29.17,4.978,1502.0,875.5,healthy
125.0,0.2,0.139,29.94,5.024,1498.9,875.0,healthy
125.5,0.2,0.1603,30.54,4.908,1500.4,874.5,healthy
126.0,0.2,0.2019,28.1,4.96,1501.9,874.0,healthy
126.5,0.2,0.1204,30.83,5.049,1497.7,873.5,healthy
127.0,0.2,0.1427,29.06,4.913,1500.0,873.0,healthy
127.5,0.21,0.1733,30.27,5.056,1497.8,872.5,healthy
128.0,0.21,0.1631,30.2,5.076,1498.0,872.0,healthy
128.5,0.21,0.1387,30.87,4.982,1498.9,871.5,healthy
129.0,0.21,0.146,30.44,5.015,1501.0,871.0,healthy
129.5,0.22,0.1088,28.1,5.056,1499.4,870.5,healthy
130.0,0.22,0.1429,29.38,4.977,1498.7,870.0,healthy
130.5,0.22,0.142,30.11,5.043,1500.1,869.5,healthy
131.0,0.22,0.157,29.85,4.966,1497.7,869.0,healthy
131.5,0.23,0.1334,30.39,4.976,1500.9,868.5,healthy
132.0,0.23,0.1642,30.64,4.96,1502.3,868.0,healthy
132.5,0.23,0.1804,30.49,5.017,1499.8,867.5,healthy
133.0,0.24,0.1547,29.83,5.058,1499.6,867.0,healthy
133.5,0.24,0.1606,28.53,4.991,1500.7,866.5,healthy
134.0,0.24,0.1516,29.64,4.936,1495.9,866.0,healthy
134.5,0.24,0.15,30.34,4.946,1501.1,865.5,healthy
135.0,0.25,0.1284,29.13,5.02,1506.2,865.0,healthy
135.5,0.25,0.1595,30.51,5.092,1499.8,864.5,healthy
136.0,0.25,0.1471,30.73,5.02,1499.8,864.0,healthy
136.5,0.25,0.2128,30.11,4.981,1501.5,863.5,healthy
137.0,0.26,0.1972,27.55,5.038,1503.3,863.0,healthy
137.5,0.26,0.1616,28.98,4.988,1501.9,862.5,healthy
138.0,0.26,0.1271,31.51,4.981,1495.7,862.0,healthy
138.5,0.27,0.1167,29.57,4.952,1501.1,861.5,healthy
139.0,0.27,0.1858,28.42,5.07,1505.1,861.0,healthy
139.5,0.27,0.1579,30.99,4.873,1501.2,860.5,healthy
140.0,0.27,0.1644,30.02,5.04,1497.7,860.0,healthy
140.5,0.28,0.0977,30.89,4.977,1500.6,859.5,healthy
141.0,0.28,0.1779,30.23,4.979,1497.4,859.0,healthy
141.5,0.28,0.1637,30.37,5.085,1502.5,858.5,healthy
142.0,0.29,0.1167,30.3,4.964,1498.1,858.0,healthy
142.5,0.29,0.1359,30.56,4.966,1500.1,857.5,healthy
143.0,0.29,0.1579,31.83,4.993,1498.3,857.0,healthy
143.5,0.3,0.1516,30.78,5.021,1498.9,856.5,healthy
144.0,0.3,0.1413,28.74,4.978,1503.0,856.0,healthy
144.5,0.3,0.1469,30.36,4.921,1500.2,855.5,healthy
145.0,0.3,0.1425,30.92,4.957,1498.9,855.0,healthy
145.5,0.31,0.1546,30.97,5.064,1497.7,854.5,healthy
146.0,0.31,0.1942,29.66,5.004,1496.3,854.0,healthy
146.5,0.31,0.0731,30.94,5.023,1497.5,853.5,healthy
147.0,0.32,0.1429,30.75,4.987,1500.2,853.0,healthy
147.5,0.32,0.1553,32.06,4.967,1502.0,852.5,healthy
148.0,0.32,0.1589,29.41,5.084,1498.9,852.0,healthy
148.5,0.33,0.1389,29.6,4.991,1503.1,851.5,healthy
149.0,0.33,0.0973,29.76,4.978,1498.6,851.0,healthy
149.5,0.33,0.1599,29.61,5.055,1499.5,850.5,healthy
150.0,0.34,0.2019,29.29,4.964,1497.8,850.0,healthy
150.5,0.34,0.1041,27.8,4.97,1502.0,849.5,healthy
151.0,0.34,0.176,29.66,5.001,1504.2,849.0,healthy
151.5,0.35,0.1402,30.3,5.0,1496.5,848.5,healthy
152.0,0.35,0.1482,29.61,5.013,1499.3,848.0,healthy
152.5,0.35,0.1185,31.56,5.105,1502.5,847.5,healthy
153.0,0.36,0.14,30.02,5.017,1497.1,847.0,healthy
153.5,0.36,0.1891,31.04,4.881,1501.1,846.5,healthy
154.0,0.37,0.1675,30.22,5.016,1502.4,846.0,healthy
154.5,0.37,0.202,30.67,5.002,1500.2,845.5,healthy
155.0,0.37,0.1854,30.23,5.002,1501.1,845.0,healthy
155.5,0.38,0.1632,31.1,5.012,1503.5,844.5,healthy
156.0,0.38,0.2024,30.05,4.999,1503.9,844.0,healthy
156.5,0.38,0.1633,30.41,4.997,1499.9,843.5,healthy
157.0,0.39,0.1749,30.3,5.031,1498.9,843.0,healthy
157.5,0.39,0.1412,29.78,4.973,1498.2,842.5,healthy
158.0,0.39,0.1521,30.33,4.953,1502.0,842.0,healthy
158.5,0.4,0.1291,31.8,5.151,1497.3,841.5,healthy
159.0,0.4,0.1797,29.79,4.964,1499.5,841.0,healthy
159.5,0.41,0.1147,30.34,5.005,1500.2,840.5,healthy
160.0,0.41,0.1735,31.02,4.925,1499.0,840.0,healthy
160.5,0.41,0.1443,30.92,5.006,1500.6,839.5,healthy
161.0,0.42,0.1852,30.02,4.953,1505.1,839.0,healthy
161.5,0.42,0.1726,28.1,4.978,1499.8,838.5,healthy
162.0,0.43,0.2047,30.42,5.052,1499.1,838.0,healthy
162.5,0.43,0.172,28.23,5.024,1502.0,837.5,healthy
163.0,0.43,0.1029,31.19,5.028,1500.5,837.0,healthy
163.5,0.44,0.1481,30.15,4.911,1502.9,836.5,healthy
164.0,0.44,0.1149,30.81,5.092,1500.3,836.0,healthy
164.5,0.45,0.1345,29.29,4.94,1499.5,835.5,healthy
165.0,0.45,0.1954,28.77,5.076,1496.4,835.0,healthy
165.5,0.45,0.1692,30.22,5.051,1496.8,834.5,healthy
166.0,0.46,0.1291,29.98,5.029,1496.3,834.0,healthy
166.5,0.46,0.1196,29.62,4.957,1500.8,833.5,healthy
167.0,0.47,0.1511,30.08,5.008,1497.3,833.0,healthy
167.5,0.47,0.1136,32.23,4.976,1502.5,832.5,healthy
168.0,0.47,0.13,30.68,5.001,1500.1,832.0,healthy
168.5,0.48,0.1595,30.85,4.988,1499.5,831.5,healthy
169.0,0.48,0.1848,30.69,4.898,1498.3,831.0,healthy
169.5,0.49,0.1684,31.2,5.056,1501.2,830.5,healthy
170.0,0.49,0.0813,29.86,4.996,1498.4,830.0,healthy
170.5,0.5,0.1592,28.37,4.976,1498.0,829.5,healthy
171.0,0.5,0.1522,29.86,4.972,1502.4,829.0,healthy
171.5,0.5,0.1625,30.66,5.018,1500.7,828.5,healthy
172.0,0.51,0.1986,29.24,4.955,1499.5,828.0,healthy
172.5,0.51,0.0882,29.87,4.887,1501.3,827.5,healthy
173.0,0.52,0.1324,29.46,5.02,1500.0,827.0,healthy
173.5,0.52,0.1679,31.21,5.026,1500.8,826.5,healthy
174.0,0.53,0.1027,30.61,4.99,1498.4,826.0,healthy
174.5,0.53,0.1944,30.53,4.943,1504.1,825.5,healthy
175.0,0.54,0.1612,30.51,5.005,1498.8,825.0,healthy
175.5,0.54,0.1756,29.98,4.927,1503.1,824.5,healthy
176.0,0.55,0.133,30.17,4.949,1499.6,824.0,healthy
176.5,0.55,0.1745,29.07,4.963,1501.6,823.5,healthy
177.0,0.55,0.1821,28.27,5.042,1501.5,823.0,healthy
177.5,0.56,0.157,30.13,4.982,1502.3,822.5,healthy
178.0,0.56,0.1571,30.27,4.978,1498.3,822.0,healthy
178.5,0.57,0.1582,30.98,5.098,1502.1,821.5,healthy
179.0,0.57,0.1243,31.27,5.018,1503.7,821.0,healthy
179.5,0.58,0.1458,31.27,5.017,1499.5,820.5,healthy
180.0,0.58,0.1456,29.22,4.982,1500.1,820.0,healthy
180.5,0.59,0.1617,29.73,4.97,1499.0,819.5,healthy
181.0,0.59,0.1801,30.4,4.891,1499.3,819.0,healthy
181.5,0.6,0.1183,32.04,5.049,1503.4,818.5,healthy
182.0,0.6,0.1464,31.2,5.022,1498.0,818.0,healthy
182.5,0.61,0.1945,30.91,4.991,1498.1,817.5,healthy
183.0,0.61,0.1278,29.71,4.993,1503.2,817.0,healthy
183.5,0.62,0.1255,29.31,5.037,1501.2,816.5,healthy
184.0,0.62,0.1562,30.65,4.922,1504.2,816.0,healthy
184.5,0.63,0.1755,29.14,4.971,1499.1,815.5,healthy
185.0,0.63,0.1505,29.83,4.943,1500.2,815.0,healthy
185.5,0.64,0.1901,29.93,5.089,1498.7,814.5,healthy
186.0,0.64,0.1759,31.29,5.044,1500.3,814.0,healthy
186.5,0.65,0.1755,29.73,4.89,1496.4,813.5,healthy
187.0,0.65,0.1669,28.07,4.924,1501.4,813.0,healthy
187.5,0.66,0.22,30.42,4.993,1500.6,812.5,healthy
188.0,0.66,0.144,29.46,4.976,1499.9,812.0,healthy
188.5,0.67,0.0899,30.05,4.934,1499.2,811.5,healthy
189.0,0.68,0.1982,29.95,5.097,1498.2,811.0,healthy
189.5,0.68,0.1364,29.8,5.016,1501.5,810.5,healthy
190.0,0.69,0.1535,30.65,5.024,1497.7,810.0,healthy
190.5,0.69,0.1896,28.79,4.965,1501.0,809.5,healthy
191.0,0.7,0.1022,29.61,5.036,1504.1,809.0,healthy
191.5,0.7,0.1127,30.57,4.981,1503.0,808.5,healthy
192.0,0.71,0.1022,29.53,4.986,1497.0,808.0,healthy
192.5,0.71,0.1264,28.73,5.031,1498.9,807.5,healthy
193.0,0.72,0.1634,30.56,4.919,1500.8,807.0,healthy
193.5,0.72,0.1659,30.92,5.08,1499.9,806.5,healthy
194.0,0.73,0.1584,29.99,5.009,1497.2,806.0,healthy
194.5,0.74,0.1078,28.45,5.064,1500.8,805.5,healthy
195.0,0.74,0.0809,30.59,4.946,1500.0,805.0,healthy
195.5,0.75,0.1519,28.69,4.954,1503.8,804.5,healthy
196.0,0.75,0.1361,30.27,4.942,1499.5,804.0,healthy
196.5,0.76,0.164,29.31,5.013,1502.3,803.5,healthy
197.0,0.76,0.1714,29.1,5.003,1497.5,803.0,healthy
197.5,0.77,0.1545,29.67,4.977,1497.9,802.5,healthy
198.0,0.78,0.1732,29.88,4.949,1501.4,802.0,healthy
198.5,0.78,0.1572,29.51,4.937,1502.2,801.5,healthy
199.0,0.79,0.1661,30.5,4.998,1498.1,801.0,healthy
199.5,0.79,0.129,29.67,4.977,1500.0,800.5,healthy
200.0,0.8,0.1446,30.81,4.966,1497.2,800.0,healthy
200.5,0.81,0.156,30.25,5.077,1499.6,799.5,healthy
201.0,0.81,0.1749,29.47,4.996,1501.7,799.0,healthy
201.5,0.82,0.1385,29.33,5.064,1499.1,798.5,healthy
202.0,0.82,0.166,28.71,4.973,1499.5,798.0,healthy
202.5,0.83,0.1424,30.26,5.012,1497.7,797.5,healthy
203.0,0.84,0.1468,29.74,4.997,1498.7,797.0,healthy
203.5,0.84,0.1752,28.13,4.915,1503.5,796.5,healthy
204.0,0.85,0.0905,29.6,5.072,1500.1,796.0,healthy
204.5,0.86,0.1114,29.31,4.993,1498.0,795.5,healthy
